"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"71","","0","1110","0.7","12608","504.32","14949","4129","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B18S4","path1778","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Black","Energy Multi Pack","Red Bull Energy Drink Zero 4x250ml"
"79","","0","1118","0.16","12689","507.56","14176","4110","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"80","","0","1119","0.16","12693","507.72","14220","4105","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"86","","0","1125","0.16","12766","510.64","14009","3999","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B17S4","path1640","2","B17S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink 4x250ml"
"76","","0","1115","0.18","12657","506.28","14582","4101","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B18S4","path1776","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 4x250ml"
"75","","0","1114","0.24","12650","506","14854","4034","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B18S4","path1776","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 4x250ml"
"63","","0","1102","0.24","12546","501.84","15868","4105","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B19S4","path1024","2","B19S4","V","B19S1-6 V","Energy","Grey","Energy Multi Pack","V Pure Energy Drink 250ml x4 pack"
"72","","0","1111","0.28","12627","505.08","14889","4058","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B18S4","path1776","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 4x250ml"
"66","","0","1105","0.28","12564","502.56","15730","4030","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B19S4","path1024","2","B19S4","V","B19S1-6 V","Energy","Grey","Energy Multi Pack","V Pure Energy Drink 250ml x4 pack"
"74","","0","1113","0.2","12644","505.76","14874","4101","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B18S4","path1776","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 4x250ml"
"65","","0","1104","0.2","12558","502.32","15561","4251","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"70","","0","1109","0.22","12601","504.04","15205","3734","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B19S3","path1748","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Single Serve","V Energy Drink Sugar Free With Guarana 250ml"
"67","","0","1106","0.22","12573","502.92","15166","4129","0","254","WW2019 Aisle 4 Base Image V7","Recording257_Participant254_00.00.00-00.40.17.mp4","P254.csv","SD2B19S4","path1780","2","B19S4","V","B19S1-6 V","Energy","Blue","Energy Multi Pack","V Energy Drink Blue 4x275ml"
